1
1734438217
5
1735091041
1853190002
1969311844
5
5
5 600 0 0 
0 -65 6 0 
1280 1.12211e+006 0 4684.4 
149.5 600 0 0 
800 600 0 0 
180 600 0 0 
700 250.163 0 0 
1170 100 0 0 
0 -65 5 0 
150 1.08083e+006 0 4596.2 
1680 144887 5 0.16268 
250 600 0 0 
-580 -46.1291 -5 0.16268 
750 600 0 0 
1490 -65 5 0 
450 400399 0 2793 
-1040 -31.1626 -5 0.16268 
550 400 0 0 
-1425 -18.6362 -5 0.16268 
0 640 0 0 
0 0 0 0 
0 5 0 0 
1275 5 0 0 
200 540 0 0 
400 440 0 0 
600 340 0 0 
800 240 0 0 
1100 140 0 0 
920 630 0 0 
1000 630 0 0 
800 230 0 0 
1100 630 0 0 
200 530 0 0 
450 610 0 0 
600 610 0 0 
950 210 0 0 
100 590 0 0 
700 590 0 0 
700 290 0 0 
