1
1
2056791564
4
4
0
0
4
4
368 600 0.75 0 
1680 -19.4496 6 0.16268 
1220 600 0 0 
263.5 2.61579e+06 0.5 7154 
281.5 1.83327e+06 0.5 5987.8 
262.5 2.41918e+06 0.5 6879.6 
1170 100 0 0 
3540 -65 5 0 
750 3.83419e+06 0 8663.2 
635 3.63742e+06 -5 0.16268 
450 400 0 0 
380 402.278 -5 0.16268 
650 300 0 0 
200 314.641 -5 0.16268 
350 386532 0 2744 
-625 36850.7 -5 0.16268 
0 640 0 0 
0 0 0 0 
0 5 0 0 
1275 5 0 0 
200 540 0 0 
400 440 0 0 
600 340 0 0 
800 240 0 0 
1100 140 0 0 
920 630 0 0 
530 630 0 0 
380 630 0 0 
1100 630 0 0 
450 610 0 0 
600 610 0 0 
950 210 0 0 
570 410 0 0 
100 590 0 0 
700 590 0 0 
700 290 0 0 
900 190 0 0 
